volume,vwap,open,close,high,low,high_low,high_close,low_close,true_range,ATR_14,Avg_Volume_14d,Relative_Volume,timestamp,date,ticker
1134125.0,117.0237,116.76,117.8451,118.0,116.29,1.7099999999999937,14.7132,13.003200000000007,14.7132,1.2402928571428578,15993.400732600732,70.91206047805798,2022-12-21 09:30:00,2022-12-21,NKE
39568.0,139.9022,140.725,139.34,140.725,139.16,1.5649999999999977,0.22499999999999432,1.789999999999992,1.789999999999992,0.5187571428571383,15410.303296703296,2.5676327868553193,2022-12-21 09:32:00,2022-12-21,SNOW
413359.0,241.4521,241.255,241.37,241.99,241.01,0.9800000000000182,2.4399999999999977,3.420000000000016,3.420000000000016,0.5611428571428567,58885.9456043956,7.019654618047679,2022-12-22 09:30:00,2022-12-22,MSFT
141732.0,297.8019,298.09,297.64,298.49,296.68,1.8100000000000023,0.5300000000000296,1.2799999999999727,1.8100000000000023,0.507478571428574,22408.465384615385,6.324931117206564,2022-12-22 09:30:00,2022-12-22,NFLX
59682.0,143.1679,143.03,143.485,144.4,142.41,1.990000000000009,2.3499999999999943,4.340000000000003,4.340000000000003,0.5272071428571447,13557.024358974359,4.402293484151796,2022-12-22 09:30:00,2022-12-22,SNOW
49532.0,101.1699,101.35,100.9101,101.35,100.91,0.4399999999999977,0.030000000000001137,0.46999999999999886,0.46999999999999886,0.5017857142857167,11701.100732600733,4.233106024119393,2022-12-22 09:33:00,2022-12-22,AMAT
62867.0,211.7554,210.225,212.1108,212.47,210.225,2.2450000000000045,2.282600000000002,0.037599999999997635,2.282600000000002,0.6317500000000028,19667.18131868132,3.1965434691083234,2022-12-22 09:31:00,2022-12-22,MRNA
811710.0,135.04,134.97,135.165,135.5,134.76,0.7400000000000091,0.5149999999999864,0.22500000000002274,0.7400000000000091,0.52889285714286,286326.17619047617,2.8349137015681602,2022-12-22 09:34:00,2022-12-22,TSLA
549342.0,236.2651,236.11,236.42,237.0,235.94,1.0600000000000023,1.4000000000000057,2.460000000000008,2.460000000000008,0.5615357142857148,59980.96923076923,9.158604921612316,2022-12-23 09:30:00,2022-12-23,MSFT
80896.0,296.2843,296.18,297.2025,297.48,295.66,1.8199999999999932,0.2699999999999818,2.089999999999975,2.089999999999975,0.5253285714285677,21560.767765567765,3.7519999695553397,2022-12-23 09:30:00,2022-12-23,NFLX
68646.0,207.1075,206.69,208.5603,208.99,205.7801,3.2099000000000046,0.6500000000000057,2.559899999999999,3.2099000000000046,0.5514142857142852,20096.2978021978,3.415853042966582,2022-12-23 09:30:00,2022-12-23,MRNA
990573.0,124.7772,124.9683,124.3147,125.2,124.21,0.9900000000000091,0.25,0.7400000000000091,0.9900000000000091,0.5068357142857148,310110.3873626374,3.194259335923637,2022-12-23 09:33:00,2022-12-23,TSLA
3308548.0,117.7871,117.495,117.69,118.74,117.08,1.6599999999999966,4.340000000000003,6.0,6.0,0.7229071428571439,323047.92362637364,10.241663103294096,2022-12-27 09:30:00,2022-12-27,TSLA
57711.0,292.9549,293.19,292.4863,293.57,291.57,2.0,1.3899999999999864,3.3899999999999864,3.3899999999999864,0.5138214285714306,20882.578937728937,2.76359544345993,2022-12-27 09:30:00,2022-12-27,NFLX
1788089.0,109.0101,109.0009,110.265,110.6899,108.24,2.4498999999999995,1.6898999999999944,0.7600000000000051,2.4498999999999995,0.6221642857142881,341913.9738095238,5.229645866992623,2022-12-28 09:31:00,2022-12-28,TSLA
58286.0,281.4241,282.06,282.6433,283.03,280.39,2.6399999999999864,1.0699999999999932,1.5699999999999932,2.6399999999999864,0.6493357142857121,20597.96923076923,2.829696430118578,2022-12-28 09:31:00,2022-12-28,NFLX
