status,ticker,price,timestamp,position_type
open,PDD,92.835,2023-02-13 09:36:00-05:00,short
close,PDD,93.6,2023-02-13 09:45:00-05:00,short
open,META,177.8901,2023-02-13 09:38:00-05:00,short
close,META,179.36,2023-02-13 09:35:00-05:00,short
open,ABNB,134.26,2023-02-15 09:36:00-05:00,long
close,ABNB,136.84,2023-02-15 15:55:00-05:00,long
open,BIDU,152.5,2023-02-15 09:37:00-05:00,short
close,BIDU,154.065,2023-02-15 10:15:00-05:00,short
open,DVN,57.935,2023-02-15 09:43:00-05:00,short
close,DVN,57.26,2023-02-15 15:55:00-05:00,short
open,RBLX,43.7,2023-02-15 09:39:00-05:00,long
close,RBLX,44.855,2023-02-15 15:55:00-05:00,long
open,NFLX,354.9303,2023-02-16 10:18:00-05:00,short
close,NFLX,358.6977,2023-02-16 10:35:00-05:00,short
open,DASH,67.855,2023-02-17 09:47:00-05:00,short
close,DASH,61.62,2023-02-17 15:55:00-05:00,short
open,CRM,166.42,2023-02-17 09:37:00-05:00,long
close,CRM,164.66,2023-02-17 09:40:00-05:00,long
open,BIDU,138.495,2023-02-21 09:40:00-05:00,long
close,BIDU,140.96,2023-02-21 15:55:00-05:00,long
open,META,174.8554,2023-02-21 09:51:00-05:00,long
close,META,173.4445,2023-02-21 10:10:00-05:00,long
open,BA,209.7001,2023-02-21 09:37:00-05:00,long
close,BA,207.9048,2023-02-21 09:55:00-05:00,long
open,COIN,64.1373,2023-02-22 09:37:00-05:00,long
close,COIN,63.5,2023-02-22 10:00:00-05:00,long
open,SNOW,153.15,2023-02-22 09:37:00-05:00,long
close,SNOW,151.1977,2023-02-22 10:00:00-05:00,long
open,BABA,97.2,2023-02-23 09:36:00-05:00,short
close,BABA,98.15,2023-02-23 09:45:00-05:00,short
open,PANW,186.96,2023-02-23 10:14:00-05:00,short
close,PANW,188.57,2023-02-23 10:25:00-05:00,short
open,BABA,90.7745,2023-02-24 09:44:00-05:00,long
close,BABA,90.07,2023-02-24 10:15:00-05:00,long
open,SQ,76.37,2023-02-24 11:27:00-05:00,short
close,SQ,76.975,2023-02-24 11:45:00-05:00,short
open,BIDU,132.34,2023-02-24 09:36:00-05:00,long
close,BIDU,131.14,2023-02-24 11:10:00-05:00,long
open,PANW,186.36,2023-02-24 09:39:00-05:00,long
close,PANW,184.87,2023-02-24 10:50:00-05:00,long
open,ZM,74.9429,2023-02-28 09:36:00-05:00,short
close,ZM,75.78,2023-02-28 11:05:00-05:00,short
open,AMC,79.0,2023-02-28 09:51:00-05:00,long
close,AMC,78.035,2023-02-28 10:45:00-05:00,long
open,BABA,92.18,2023-03-01 09:41:00-05:00,short
close,BABA,89.96,2023-03-01 15:55:00-05:00,short
open,AMC,68.27,2023-03-01 09:38:00-05:00,short
close,AMC,68.9,2023-03-01 09:35:00-05:00,short
open,SNOW,134.245,2023-03-02 09:37:00-05:00,short
close,SNOW,135.4381,2023-03-02 10:50:00-05:00,short
open,TSLA,187.45,2023-03-02 09:36:00-05:00,long
close,TSLA,190.865,2023-03-02 15:55:00-05:00,long
open,NFLX,312.765,2023-03-03 09:37:00-05:00,short
close,NFLX,315.46,2023-03-03 09:45:00-05:00,short
open,SE,73.02,2023-03-07 09:36:00-05:00,long
close,SE,80.16,2023-03-07 15:55:00-05:00,long
open,BIDU,146.4,2023-03-07 09:36:00-05:00,long
close,BIDU,144.61,2023-03-07 09:40:00-05:00,long
open,TSLA,183.95,2023-03-08 09:41:00-05:00,short
close,TSLA,181.75,2023-03-08 15:55:00-05:00,short
open,PDD,88.55,2023-03-09 09:53:00-05:00,short
close,PDD,89.695,2023-03-09 09:55:00-05:00,short
open,META,187.5999,2023-03-09 09:49:00-05:00,long
close,META,185.815,2023-03-09 10:15:00-05:00,long
open,NFLX,311.58,2023-03-09 09:46:00-05:00,short
close,NFLX,298.04,2023-03-09 15:55:00-05:00,short
open,TSLA,181.9437,2023-03-09 10:11:00-05:00,long
close,TSLA,179.6101,2023-03-09 12:00:00-05:00,long
open,SCHW,61.6,2023-03-10 09:37:00-05:00,short
close,SCHW,62.17,2023-03-10 10:55:00-05:00,short
open,NFLX,296.6321,2023-03-10 10:00:00-05:00,short
close,NFLX,291.995,2023-03-10 15:55:00-05:00,short
open,FITB,24.99,2023-03-13 11:09:00-04:00,short
close,FITB,25.81,2023-03-13 11:15:00-04:00,short
open,CVX,154.82,2023-03-13 09:39:00-04:00,short
close,CVX,156.135,2023-03-13 09:40:00-04:00,short
open,HD,288.22,2023-03-13 12:32:00-04:00,long
close,HD,286.22,2023-03-13 15:55:00-04:00,long
open,V,213.52,2023-03-13 09:45:00-04:00,short
close,V,215.17,2023-03-13 10:30:00-04:00,short
open,COP,100.16,2023-03-13 09:36:00-04:00,short
close,COP,101.02,2023-03-13 09:40:00-04:00,short
