ticker,position_type,entry_time,exit_time,entry_price,exit_price,capital_allocated,shares_traded,profit/loss,% of profit/loss,updated_capital
TSLA,short,2022-12-23 09:42:00-05:00,2022-12-23 10:30:00-05:00,123.86,126.24,100000.0,807.3631519457452,-1927.1758436944901,-1.9271758436944901,98072.8241563055
TSLA,long,2022-12-27 09:36:00-05:00,2022-12-27 09:45:00-05:00,117.1,115.8,49036.41207815275,418.7567214188963,-547.3150348944962,-1.1161400512382553,97525.50912141101
NFLX,short,2022-12-27 10:48:00-05:00,2022-12-27 15:55:00-05:00,290.67,284.72,49036.41207815275,168.7013179143109,1002.5919323647477,2.0445866446485663,98528.10105377577
TSLA,long,2022-12-28 09:37:00-05:00,2022-12-28 10:05:00-05:00,113.3499,111.875,98528.10105377577,869.2385353121243,-1288.1245854790416,-1.3073677171307652,97239.97646829672
SNOW,long,2022-12-30 09:36:00-05:00,2022-12-30 09:45:00-05:00,141.63,140.5,48619.98823414836,343.2887681575116,-390.3193293950891,-0.8027960177928373,96849.65713890163
TSLA,long,2022-12-30 09:48:00-05:00,2022-12-30 11:15:00-05:00,122.27,121.31,48619.98823414836,397.644460899226,-384.52219368954906,-0.7908726588697094,96465.13494521208
PDD,long,2023-01-03 09:37:00-05:00,2023-01-03 09:35:00-05:00,88.14,87.2894,24116.28373630302,273.6133848003519,-234.6508388047818,-0.9729975039709553,96230.4841064073
NFLX,short,2023-01-03 09:37:00-05:00,2023-01-03 15:55:00-05:00,295.59,295.53,24116.28373630302,81.58694047939045,4.324107845407879,0.017930241212491045,96234.8082142527
TSLA,short,2023-01-03 09:43:00-05:00,2023-01-03 15:55:00-05:00,115.8903,108.142,24116.28373630302,208.0957917643066,1610.9319527850269,6.679851549266851,97845.74016703773
META,long,2023-01-03 09:48:00-05:00,2023-01-03 09:55:00-05:00,123.85,122.8475,24116.28373630302,194.72170961891823,-196.5715658602975,-0.8150989099717383,97649.16860117743
CRM,short,2023-01-04 09:37:00-05:00,2023-01-04 15:55:00-05:00,140.29,139.445,19529.833720235485,139.21044778840607,116.65835524668412,0.5973340936631256,97765.82695642412
BABA,short,2023-01-04 09:38:00-05:00,2023-01-04 10:20:00-05:00,97.7697,98.571,19529.833720235485,199.75343813303596,-161.46070404293252,-0.8267387544402793,97604.3662523812
PDD,short,2023-01-04 09:37:00-05:00,2023-01-04 10:20:00-05:00,89.55,90.588,19529.833720235485,218.08859542418188,-227.90258221826934,-1.166945840312671,97376.46367016292
V,long,2023-01-04 09:39:00-05:00,2023-01-04 15:55:00-05:00,211.11,212.0193,19529.833720235485,92.51022557072372,83.47197653246154,0.42740751267110666,97459.93564669538
CVX,long,2023-01-04 09:48:00-05:00,2023-01-04 15:55:00-05:00,172.11,171.8,19529.833720235485,113.472974959244,-35.970933062080604,-0.18418453314740704,97423.9647136333
BA,long,2023-01-06 09:36:00-05:00,2023-01-06 09:40:00-05:00,207.47,204.4,97423.9647136333,469.5809741824519,-1444.9006575594012,-1.483105991227644,95979.0640560739
NFLX,short,2023-01-09 09:45:00-05:00,2023-01-09 11:10:00-05:00,316.1719,318.69,95979.0640560739,303.5660792628121,-766.5347067465281,-0.7986478241741294,95212.52934932736
BA,long,2023-01-10 09:38:00-05:00,2023-01-10 15:55:00-05:00,205.9394,207.04,31737.509783109123,154.11091701301024,168.5356988454258,0.5310300020297164,95381.0650481728
NFLX,long,2023-01-10 09:46:00-05:00,2023-01-10 15:55:00-05:00,316.14,327.725,31737.509783109123,100.3906806576489,1162.3233006542625,3.662301511988371,96543.38834882705
MRNA,long,2023-01-10 09:52:00-05:00,2023-01-10 15:55:00-05:00,185.5,189.6,31737.509783109123,171.0916969439845,700.2783155917275,2.2064690026954143,97243.66666441878
